gender,age,fare,class,who,alone,survived
male,22,7.25,Third,man,FALSE,0
female,38,71.2833,First,woman,FALSE,1
female,26,7.925,Third,woman,TRUE,1
female,35,53.1,First,woman,FALSE,1
male,35,8.05,Third,man,TRUE,0
male,,8.4583,Third,man,TRUE,0
male,54,51.8625,First,man,TRUE,0
male,2,21.075,Third,child,FALSE,0
female,27,11.1333,Third,woman,FALSE,1
female,14,30.0708,Second,child,FALSE,1
female,4,16.7,Third,child,FALSE,1
female,58,26.55,First,woman,TRUE,1
male,20,8.05,Third,man,TRUE,0
male,39,31.275,Third,man,FALSE,0
female,14,7.8542,Third,child,TRUE,0
female,55,16,Second,woman,TRUE,1
male,2,29.125,Third,child,FALSE,0
male,,13,Second,man,TRUE,1
female,31,18,Third,woman,FALSE,0
female,,7.225,Third,woman,TRUE,1
male,35,26,Second,man,TRUE,0
male,34,13,Second,man,TRUE,1
female,15,8.0292,Third,child,TRUE,1
male,28,35.5,First,man,TRUE,1
female,8,21.075,Third,child,FALSE,0
female,38,31.3875,Third,woman,FALSE,1
male,,7.225,Third,man,TRUE,0
male,19,263,First,man,FALSE,0
female,,7.8792,Third,woman,TRUE,1
male,,7.8958,Third,man,TRUE,0
male,40,27.7208,First,man,TRUE,0
female,,146.5208,First,woman,FALSE,1
female,,7.75,Third,woman,TRUE,1
male,66,10.5,Second,man,TRUE,0
male,28,82.1708,First,man,FALSE,0
male,42,52,First,man,FALSE,0
male,,7.2292,Third,man,TRUE,1
male,21,8.05,Third,man,TRUE,0
female,18,18,Third,woman,FALSE,0
female,14,11.2417,Third,child,FALSE,1
female,40,9.475,Third,woman,FALSE,0
female,27,21,Second,woman,FALSE,0
male,,7.8958,Third,man,TRUE,0
female,3,41.5792,Second,child,FALSE,1
female,19,7.8792,Third,woman,TRUE,1
male,,8.05,Third,man,TRUE,0
male,,15.5,Third,man,FALSE,0
female,,7.75,Third,woman,TRUE,1
male,,21.6792,Third,man,FALSE,0
female,18,17.8,Third,woman,FALSE,0
male,7,39.6875,Third,child,FALSE,0
male,21,7.8,Third,man,TRUE,0
female,49,76.7292,First,woman,FALSE,1
female,29,26,Second,woman,FALSE,1
male,65,61.9792,First,man,FALSE,0
male,,35.5,First,man,TRUE,1
female,21,10.5,Second,woman,TRUE,1
male,28.5,7.2292,Third,man,TRUE,0
female,5,27.75,Second,child,FALSE,1
male,11,46.9,Third,child,FALSE,0
male,22,7.2292,Third,man,TRUE,0
female,38,80,First,woman,TRUE,1
male,45,83.475,First,man,FALSE,0
male,4,27.9,Third,child,FALSE,0
male,,27.7208,First,man,TRUE,0
male,,15.2458,Third,man,FALSE,1
female,29,10.5,Second,woman,TRUE,1
male,19,8.1583,Third,man,TRUE,0
female,17,7.925,Third,woman,FALSE,1
male,26,8.6625,Third,man,FALSE,0
male,32,10.5,Second,man,TRUE,0
female,16,46.9,Third,woman,FALSE,0
male,21,73.5,Second,man,TRUE,0
male,26,14.4542,Third,man,FALSE,0
male,32,56.4958,Third,man,TRUE,1
male,25,7.65,Third,man,TRUE,0
male,,7.8958,Third,man,TRUE,0
male,,8.05,Third,man,TRUE,0
male,0.83,29,Second,child,FALSE,1
female,30,12.475,Third,woman,TRUE,1
male,22,9,Third,man,TRUE,0
male,29,9.5,Third,man,TRUE,1
female,,7.7875,Third,woman,TRUE,1
male,28,47.1,First,man,TRUE,0
female,17,10.5,Second,woman,TRUE,1
female,33,15.85,Third,woman,FALSE,1
male,16,34.375,Third,man,FALSE,0
male,,8.05,Third,man,TRUE,0
female,23,263,First,woman,FALSE,1
male,24,8.05,Third,man,TRUE,0
male,29,8.05,Third,man,TRUE,0
male,20,7.8542,Third,man,TRUE,0
male,46,61.175,First,man,FALSE,0
male,26,20.575,Third,man,FALSE,0
male,59,7.25,Third,man,TRUE,0
male,,8.05,Third,man,TRUE,0
male,71,34.6542,First,man,TRUE,0
male,23,63.3583,First,man,FALSE,1
female,34,23,Second,woman,FALSE,1
male,34,26,Second,man,FALSE,0
female,28,7.8958,Third,woman,TRUE,0
male,,7.8958,Third,man,TRUE,0
male,21,77.2875,First,man,FALSE,0
male,33,8.6542,Third,man,TRUE,0
male,37,7.925,Third,man,FALSE,0
male,28,7.8958,Third,man,TRUE,0
female,21,7.65,Third,woman,TRUE,1
male,,7.775,Third,man,TRUE,1
male,38,7.8958,Third,man,TRUE,0
female,,24.15,Third,woman,FALSE,1
male,47,52,First,man,TRUE,0
female,14.5,14.4542,Third,child,FALSE,0
male,22,8.05,Third,man,TRUE,0
female,20,9.825,Third,woman,FALSE,0
female,17,14.4583,Third,woman,TRUE,0
male,21,7.925,Third,man,TRUE,0
male,70.5,7.75,Third,man,TRUE,0
male,29,21,Second,man,FALSE,0
male,24,247.5208,First,man,FALSE,0
female,2,31.275,Third,child,FALSE,0
male,21,73.5,Second,man,FALSE,0
male,,8.05,Third,man,TRUE,0
male,32.5,30.0708,Second,man,FALSE,0
female,32.5,13,Second,woman,TRUE,1
male,54,77.2875,First,man,FALSE,0
male,12,11.2417,Third,child,FALSE,1
male,,7.75,Third,man,TRUE,0
male,24,7.1417,Third,man,TRUE,1
female,,22.3583,Third,woman,FALSE,1
male,45,6.975,Third,man,TRUE,0
male,33,7.8958,Third,man,TRUE,0
male,20,7.05,Third,man,TRUE,0
female,47,14.5,Third,woman,FALSE,0
female,29,26,Second,woman,FALSE,1
male,25,13,Second,man,TRUE,0
male,23,15.0458,Second,man,TRUE,0
female,19,26.2833,First,woman,FALSE,1
male,37,53.1,First,man,FALSE,0
male,16,9.2167,Third,man,TRUE,0
male,24,79.2,First,man,TRUE,0
female,,15.2458,Third,woman,FALSE,0
female,22,7.75,Third,woman,TRUE,1
female,24,15.85,Third,woman,FALSE,1
male,19,6.75,Third,man,TRUE,0
male,18,11.5,Second,man,TRUE,0
male,19,36.75,Second,man,FALSE,0
male,27,7.7958,Third,man,TRUE,1
female,9,34.375,Third,child,FALSE,0
male,36.5,26,Second,man,FALSE,0
male,42,13,Second,man,TRUE,0
male,51,12.525,Second,man,TRUE,0
female,22,66.6,First,woman,FALSE,1
male,55.5,8.05,Third,man,TRUE,0
male,40.5,14.5,Third,man,FALSE,0
male,,7.3125,Third,man,TRUE,0
male,51,61.3792,First,man,FALSE,0
female,16,7.7333,Third,woman,TRUE,1
male,30,8.05,Third,man,TRUE,0
male,,8.6625,Third,man,TRUE,0
male,,69.55,Third,man,FALSE,0
male,44,16.1,Third,man,FALSE,0
female,40,15.75,Second,woman,TRUE,1
male,26,7.775,Third,man,TRUE,0
male,17,8.6625,Third,man,TRUE,0
male,1,39.6875,Third,child,FALSE,0
male,9,20.525,Third,child,FALSE,1
female,,55,First,woman,FALSE,1
female,45,27.9,Third,woman,FALSE,0
male,,25.925,First,man,TRUE,0
male,28,56.4958,Third,man,TRUE,0
male,61,33.5,First,man,TRUE,0
male,4,29.125,Third,child,FALSE,0
female,1,11.1333,Third,child,FALSE,1
male,21,7.925,Third,man,TRUE,0
male,56,30.6958,First,man,TRUE,0
male,18,7.8542,Third,man,FALSE,0
male,,25.4667,Third,man,FALSE,0
female,50,28.7125,First,woman,TRUE,0
male,30,13,Second,man,TRUE,0
male,36,0,Third,man,TRUE,0
female,,69.55,Third,woman,FALSE,0
male,,15.05,Second,man,TRUE,0
male,9,31.3875,Third,child,FALSE,0
male,1,39,Second,child,FALSE,1
female,4,22.025,Third,child,FALSE,1
male,,50,First,man,TRUE,0
female,,15.5,Third,woman,FALSE,1
male,45,26.55,First,man,TRUE,1
male,40,15.5,Third,man,FALSE,0
male,36,7.8958,Third,man,TRUE,0
female,32,13,Second,woman,TRUE,1
male,19,13,Second,man,TRUE,0
female,19,7.8542,Third,woman,FALSE,1
male,3,26,Second,child,FALSE,1
female,44,27.7208,First,woman,TRUE,1
female,58,146.5208,First,woman,TRUE,1
male,,7.75,Third,man,TRUE,0
male,42,8.4042,Third,man,FALSE,0
female,,7.75,Third,woman,TRUE,1
female,24,13,Second,woman,TRUE,0
male,28,9.5,Third,man,TRUE,0
male,,69.55,Third,man,FALSE,0
male,34,6.4958,Third,man,TRUE,0
male,45.5,7.225,Third,man,TRUE,0
male,18,8.05,Third,man,TRUE,1
female,2,10.4625,Third,child,FALSE,0
male,32,15.85,Third,man,FALSE,0
male,26,18.7875,Third,man,TRUE,1
female,16,7.75,Third,woman,TRUE,1
male,40,31,First,man,TRUE,1
male,24,7.05,Third,man,TRUE,0
female,35,21,Second,woman,TRUE,1
male,22,7.25,Third,man,TRUE,0
male,30,13,Second,man,TRUE,0
male,,7.75,Third,man,FALSE,0
female,31,113.275,First,woman,FALSE,1
female,27,7.925,Third,woman,TRUE,1
male,42,27,Second,man,FALSE,0
female,32,76.2917,First,woman,TRUE,1
male,30,10.5,Second,man,TRUE,0
male,16,8.05,Third,man,TRUE,1
male,27,13,Second,man,TRUE,0
male,51,8.05,Third,man,TRUE,0
male,,7.8958,Third,man,TRUE,0
male,38,90,First,man,FALSE,1
male,22,9.35,Third,man,TRUE,0
male,19,10.5,Second,man,TRUE,1
male,20.5,7.25,Third,man,TRUE,0
male,18,13,Second,man,TRUE,0
female,,25.4667,Third,woman,FALSE,0
female,35,83.475,First,woman,FALSE,1
male,29,7.775,Third,man,TRUE,0
male,59,13.5,Second,man,TRUE,0
female,5,31.3875,Third,child,FALSE,1
male,24,10.5,Second,man,TRUE,0
female,,7.55,Third,woman,TRUE,0
male,44,26,Second,man,FALSE,0
female,8,26.25,Second,child,FALSE,1
male,19,10.5,Second,man,TRUE,0
male,33,12.275,Second,man,TRUE,0
female,,14.4542,Third,woman,FALSE,0
female,,15.5,Third,woman,FALSE,1
male,29,10.5,Second,man,TRUE,0
male,22,7.125,Third,man,TRUE,0
male,30,7.225,Third,man,TRUE,0
male,44,90,First,man,FALSE,0
female,25,7.775,Third,woman,TRUE,0
female,24,14.5,Second,woman,FALSE,1
male,37,52.5542,First,man,FALSE,1
male,54,26,Second,man,FALSE,0
male,,7.25,Third,man,TRUE,0
female,29,10.4625,Third,woman,FALSE,0
male,62,26.55,First,man,TRUE,0
male,30,16.1,Third,man,FALSE,0
female,41,20.2125,Third,woman,FALSE,0
female,29,15.2458,Third,woman,FALSE,1
female,,79.2,First,woman,TRUE,1
female,30,86.5,First,woman,TRUE,1
female,35,512.3292,First,woman,TRUE,1
female,50,26,Second,woman,FALSE,1
male,,7.75,Third,man,TRUE,0
male,3,31.3875,Third,child,FALSE,1
male,52,79.65,First,man,FALSE,0
male,40,0,First,man,TRUE,0
female,,7.75,Third,woman,TRUE,0
male,36,10.5,Second,man,TRUE,0
male,16,39.6875,Third,man,FALSE,0
male,25,7.775,Third,man,FALSE,1
female,58,153.4625,First,woman,FALSE,1
female,35,135.6333,First,woman,TRUE,1
male,,31,First,man,TRUE,0
male,25,0,Third,man,TRUE,1
female,41,19.5,Second,woman,FALSE,1
male,37,29.7,First,man,FALSE,0
female,,7.75,Third,woman,TRUE,1
female,63,77.9583,First,woman,FALSE,1
female,45,7.75,Third,woman,TRUE,0
male,,0,Second,man,TRUE,0
male,7,29.125,Third,child,FALSE,0
female,35,20.25,Third,woman,FALSE,1
male,65,7.75,Third,man,TRUE,0
male,28,7.8542,Third,man,TRUE,0
male,16,9.5,Third,man,TRUE,0
male,19,8.05,Third,man,TRUE,1
male,,26,First,man,TRUE,0
male,33,8.6625,Third,man,TRUE,0
male,30,9.5,Third,man,TRUE,1
male,22,7.8958,Third,man,TRUE,0
male,42,13,Second,man,TRUE,1
female,22,7.75,Third,woman,TRUE,1
female,26,78.85,First,woman,TRUE,1
female,19,91.0792,First,woman,FALSE,1
male,36,12.875,Second,man,TRUE,0
female,24,8.85,Third,woman,TRUE,0
male,24,7.8958,Third,man,TRUE,0
male,,27.7208,First,man,TRUE,0
male,23.5,7.2292,Third,man,TRUE,0
female,2,151.55,First,child,FALSE,0
male,,30.5,First,man,TRUE,1
female,50,247.5208,First,woman,FALSE,1
female,,7.75,Third,woman,TRUE,1
male,,23.25,Third,man,FALSE,1
male,19,0,Third,man,TRUE,0
female,,12.35,Second,woman,TRUE,1
male,,8.05,Third,man,TRUE,0
male,0.92,151.55,First,child,FALSE,1
female,,110.8833,First,woman,TRUE,1
female,17,108.9,First,woman,FALSE,1
male,30,24,Second,man,FALSE,0
female,30,56.9292,First,woman,TRUE,1
female,24,83.1583,First,woman,TRUE,1
female,18,262.375,First,woman,FALSE,1
female,26,26,Second,woman,FALSE,0
male,28,7.8958,Third,man,TRUE,0
male,43,26.25,Second,man,FALSE,0
female,26,7.8542,Third,woman,TRUE,1
female,24,26,Second,woman,FALSE,1
male,54,14,Second,man,TRUE,0
female,31,164.8667,First,woman,FALSE,1
female,40,134.5,First,woman,FALSE,1
male,22,7.25,Third,man,TRUE,0
male,27,7.8958,Third,man,TRUE,0
female,30,12.35,Second,woman,TRUE,1
female,22,29,Second,woman,FALSE,1
male,,69.55,Third,man,FALSE,0
female,36,135.6333,First,woman,TRUE,1
male,61,6.2375,Third,man,TRUE,0
female,36,13,Second,woman,TRUE,1
female,31,20.525,Third,woman,FALSE,1
female,16,57.9792,First,woman,FALSE,1
female,,23.25,Third,woman,FALSE,1
male,45.5,28.5,First,man,TRUE,0
male,38,153.4625,First,man,FALSE,0
male,16,18,Third,man,FALSE,0
female,,133.65,First,woman,FALSE,1
male,,7.8958,Third,man,TRUE,0
male,29,66.6,First,man,FALSE,0
female,41,134.5,First,woman,TRUE,1
male,45,8.05,Third,man,TRUE,1
male,45,35.5,First,man,TRUE,0
male,2,26,Second,child,FALSE,1
female,24,263,First,woman,FALSE,1
male,28,13,Second,man,TRUE,0
male,25,13,Second,man,TRUE,0
male,36,13,Second,man,TRUE,0
female,24,13,Second,woman,TRUE,1
female,40,13,Second,woman,TRUE,1
female,,16.1,Third,woman,FALSE,1
male,3,15.9,Third,child,FALSE,1
male,42,8.6625,Third,man,TRUE,0
male,23,9.225,Third,man,TRUE,0
male,,35,First,man,TRUE,0
male,15,7.2292,Third,child,FALSE,0
male,25,17.8,Third,man,FALSE,0
male,,7.225,Third,man,TRUE,0
male,28,9.5,Third,man,TRUE,0
female,22,55,First,woman,FALSE,1
female,38,13,Second,woman,TRUE,0
female,,7.8792,Third,woman,TRUE,1
female,,7.8792,Third,woman,TRUE,1
male,40,27.9,Third,man,FALSE,0
male,29,27.7208,Second,man,FALSE,0
female,45,14.4542,Third,woman,FALSE,0
male,35,7.05,Third,man,TRUE,0
male,,15.5,Third,man,FALSE,0
male,30,7.25,Third,man,TRUE,0
female,60,75.25,First,woman,FALSE,1
female,,7.2292,Third,woman,TRUE,1
female,,7.75,Third,woman,TRUE,1
female,24,69.3,First,woman,TRUE,1
male,25,55.4417,First,man,FALSE,1
male,18,6.4958,Third,man,FALSE,0
male,19,8.05,Third,man,TRUE,0
male,22,135.6333,First,man,TRUE,0
female,3,21.075,Third,child,FALSE,0
female,,82.1708,First,woman,FALSE,1
female,22,7.25,Third,woman,TRUE,1
male,27,211.5,First,man,FALSE,0
male,20,4.0125,Third,man,TRUE,0
male,19,7.775,Third,man,TRUE,0
female,42,227.525,First,woman,TRUE,1
female,1,15.7417,Third,child,FALSE,1
male,32,7.925,Third,man,TRUE,0
female,35,52,First,woman,FALSE,1
male,,7.8958,Third,man,TRUE,0
male,18,73.5,Second,man,TRUE,0
male,1,46.9,Third,child,FALSE,0
female,36,13,Second,woman,TRUE,1
male,,7.7292,Third,man,TRUE,0
female,17,12,Second,woman,TRUE,1
male,36,120,First,man,FALSE,1
male,21,7.7958,Third,man,TRUE,1
male,28,7.925,Third,man,FALSE,0
female,23,113.275,First,woman,FALSE,1
female,24,16.7,Third,woman,FALSE,1
male,22,7.7958,Third,man,TRUE,0
female,31,7.8542,Third,woman,TRUE,0
male,46,26,Second,man,TRUE,0
male,23,10.5,Second,man,TRUE,0
female,28,12.65,Second,woman,TRUE,1
male,39,7.925,Third,man,TRUE,1
male,26,8.05,Third,man,TRUE,0
female,21,9.825,Third,woman,FALSE,0
male,28,15.85,Third,man,FALSE,0
female,20,8.6625,Third,woman,TRUE,0
male,34,21,Second,man,FALSE,0
male,51,7.75,Third,man,TRUE,0
male,3,18.75,Second,child,FALSE,1
male,21,7.775,Third,man,TRUE,0
female,,25.4667,Third,woman,FALSE,0
male,,7.8958,Third,man,TRUE,0
male,,6.8583,Third,man,TRUE,0
female,33,90,First,woman,FALSE,1
male,,0,Second,man,TRUE,0
male,44,7.925,Third,man,TRUE,1
female,,8.05,Third,woman,TRUE,0
female,34,32.5,Second,woman,FALSE,1
female,18,13,Second,woman,FALSE,1
male,30,13,Second,man,TRUE,0
female,10,24.15,Third,child,FALSE,0
male,,7.8958,Third,man,TRUE,0
male,21,7.7333,Third,man,TRUE,0
male,29,7.875,Third,man,TRUE,0
female,28,14.4,Third,woman,FALSE,0
male,18,20.2125,Third,man,FALSE,0
male,,7.25,Third,man,TRUE,0
female,28,26,Second,woman,FALSE,1
female,19,26,Second,woman,TRUE,1
male,,7.75,Third,man,TRUE,0
male,32,8.05,Third,man,TRUE,1
male,28,26.55,First,man,TRUE,1
female,,16.1,Third,woman,FALSE,1
female,42,26,Second,woman,FALSE,1
male,17,7.125,Third,man,TRUE,0
male,50,55.9,First,man,FALSE,0
female,14,120,First,child,FALSE,1
female,21,34.375,Third,woman,FALSE,0
female,24,18.75,Second,woman,FALSE,1
male,64,263,First,man,FALSE,0
male,31,10.5,Second,man,TRUE,0
female,45,26.25,Second,woman,FALSE,1
male,20,9.5,Third,man,TRUE,0
