gender,age,fare,class,who,alone,survived
male,25,7.775,Third,man,FALSE,0
female,28,13,Second,woman,TRUE,1
male,,8.1125,Third,man,TRUE,1
male,4,81.8583,First,child,FALSE,1
female,13,19.5,Second,child,FALSE,1
male,34,26.55,First,man,TRUE,1
female,5,19.2583,Third,child,FALSE,1
male,52,30.5,First,man,TRUE,1
male,36,27.75,Second,man,FALSE,0
male,,19.9667,Third,man,FALSE,0
male,30,27.75,First,man,TRUE,0
male,49,89.1042,First,man,FALSE,1
male,,8.05,Third,man,TRUE,0
male,29,7.8958,Third,man,TRUE,1
male,65,26.55,First,man,TRUE,0
female,,51.8625,First,woman,FALSE,1
female,50,10.5,Second,woman,TRUE,1
male,,7.75,Third,man,TRUE,0
male,48,26.55,First,man,TRUE,1
male,34,8.05,Third,man,TRUE,0
male,47,38.5,First,man,TRUE,0
male,48,13,Second,man,TRUE,0
male,,8.05,Third,man,TRUE,0
male,38,7.05,Third,man,TRUE,0
male,,0,Second,man,TRUE,0
male,56,26.55,First,man,TRUE,0
male,,7.725,Third,man,TRUE,0
female,0.75,19.2583,Third,child,FALSE,1
male,,7.25,Third,man,TRUE,0
male,38,8.6625,Third,man,TRUE,0
female,33,27.75,Second,woman,FALSE,1
female,23,13.7917,Second,woman,TRUE,1
female,22,9.8375,Third,woman,TRUE,0
male,,52,First,man,TRUE,0
male,34,21,Second,man,FALSE,0
male,29,7.0458,Third,man,FALSE,0
male,22,7.5208,Third,man,TRUE,0
female,2,12.2875,Third,child,FALSE,1
male,9,46.9,Third,child,FALSE,0
male,,0,Second,man,TRUE,0
male,50,8.05,Third,man,TRUE,0
female,63,9.5875,Third,woman,TRUE,1
male,25,91.0792,First,man,FALSE,1
female,,25.4667,Third,woman,FALSE,0
female,35,90,First,woman,FALSE,1
male,58,29.7,First,man,TRUE,0
male,30,8.05,Third,man,TRUE,0
male,9,15.9,Third,child,FALSE,1
male,,19.9667,Third,man,FALSE,0
male,21,7.25,Third,man,TRUE,0
male,55,30.5,First,man,TRUE,0
male,71,49.5042,First,man,TRUE,0
male,21,8.05,Third,man,TRUE,0
male,,14.4583,Third,man,TRUE,0
female,54,78.2667,First,woman,FALSE,1
male,,15.1,Third,man,TRUE,0
female,25,151.55,First,woman,FALSE,0
male,24,7.7958,Third,man,TRUE,0
male,17,8.6625,Third,man,TRUE,0
female,21,7.75,Third,woman,TRUE,0
female,,7.6292,Third,woman,TRUE,0
female,37,9.5875,Third,woman,TRUE,0
female,16,86.5,First,woman,TRUE,1
male,18,108.9,First,man,FALSE,0
female,33,26,Second,woman,FALSE,1
male,,26.55,First,man,TRUE,1
male,28,22.525,Third,man,TRUE,0
male,26,56.4958,Third,man,TRUE,1
male,29,7.75,Third,man,TRUE,1
male,,8.05,Third,man,TRUE,0
male,36,26.2875,First,man,TRUE,1
female,54,59.4,First,woman,FALSE,1
male,24,7.4958,Third,man,TRUE,0
male,47,34.0208,First,man,TRUE,0
female,34,10.5,Second,woman,TRUE,1
male,,24.15,Third,man,TRUE,0
female,36,26,Second,woman,FALSE,1
male,32,7.8958,Third,man,TRUE,0
female,30,93.5,First,woman,TRUE,1
male,22,7.8958,Third,man,TRUE,0
male,,7.225,Third,man,TRUE,0
female,44,57.9792,First,woman,FALSE,1
male,,7.2292,Third,man,TRUE,0
male,40.5,7.75,Third,man,TRUE,0
female,50,10.5,Second,woman,TRUE,1
male,,221.7792,First,man,TRUE,0
male,39,7.925,Third,man,TRUE,0
male,23,11.5,Second,man,FALSE,0
female,2,26,Second,child,FALSE,1
male,,7.2292,Third,man,TRUE,0
male,17,7.2292,Third,man,FALSE,0
female,,22.3583,Third,woman,FALSE,1
female,30,8.6625,Third,woman,TRUE,0
female,7,26.25,Second,child,FALSE,1
male,45,26.55,First,man,TRUE,0
female,30,106.425,First,woman,TRUE,1
male,,14.5,Third,man,TRUE,0
female,22,49.5,First,woman,FALSE,1
female,36,71,First,woman,FALSE,1
female,9,31.275,Third,child,FALSE,0
female,11,31.275,Third,child,FALSE,0
male,32,26,Second,man,FALSE,1
male,50,106.425,First,man,FALSE,0
male,64,26,First,man,TRUE,0
female,19,26,Second,woman,FALSE,1
male,,13.8625,Second,man,TRUE,1
male,33,20.525,Third,man,FALSE,0
male,8,36.75,Second,child,FALSE,1
male,17,110.8833,First,man,FALSE,1
male,27,26,Second,man,TRUE,0
male,,7.8292,Third,man,TRUE,0
male,22,7.225,Third,man,TRUE,1
female,22,7.775,Third,woman,TRUE,1
male,62,26.55,First,man,TRUE,0
female,48,39.6,First,woman,FALSE,1
male,,227.525,First,man,TRUE,0
female,39,79.65,First,woman,FALSE,1
female,36,17.4,Third,woman,FALSE,1
male,,7.75,Third,man,TRUE,0
male,40,7.8958,Third,man,TRUE,0
male,28,13.5,Second,man,TRUE,0
male,,8.05,Third,man,TRUE,0
female,,8.05,Third,woman,TRUE,0
male,24,24.15,Third,man,FALSE,0
male,19,7.8958,Third,man,TRUE,0
female,29,21.075,Third,woman,FALSE,0
male,,7.2292,Third,man,TRUE,0
male,32,7.8542,Third,man,TRUE,1
male,62,10.5,Second,man,TRUE,1
female,53,51.4792,First,woman,FALSE,1
male,36,26.3875,First,man,TRUE,1
female,,7.75,Third,woman,TRUE,1
male,16,8.05,Third,man,TRUE,0
male,19,14.5,Third,man,TRUE,0
female,34,13,Second,woman,TRUE,1
female,39,55.9,First,woman,FALSE,1
female,,14.4583,Third,woman,FALSE,0
male,32,7.925,Third,man,TRUE,1
female,25,30,Second,woman,FALSE,1
female,39,110.8833,First,woman,FALSE,1
male,54,26,Second,man,TRUE,0
male,36,40.125,First,man,TRUE,0
male,,8.7125,Third,man,TRUE,0
female,18,79.65,First,woman,FALSE,1
male,47,15,Second,man,TRUE,0
male,60,79.2,First,man,FALSE,1
male,22,8.05,Third,man,TRUE,0
male,,8.05,Third,man,TRUE,0
male,35,7.125,Third,man,TRUE,0
female,52,78.2667,First,woman,FALSE,1
male,47,7.25,Third,man,TRUE,0
female,,7.75,Third,woman,FALSE,0
male,37,26,Second,man,FALSE,0
male,36,24.15,Third,man,FALSE,0
female,,33,Second,woman,TRUE,1
male,49,0,Third,man,TRUE,0
male,,7.225,Third,man,TRUE,0
male,49,56.9292,First,man,FALSE,1
female,24,27,Second,woman,FALSE,1
male,,7.8958,Third,man,TRUE,0
male,,42.4,First,man,TRUE,0
male,44,8.05,Third,man,TRUE,0
male,35,26.55,First,man,TRUE,1
male,36,15.55,Third,man,FALSE,0
male,30,7.8958,Third,man,TRUE,0
male,27,30.5,First,man,TRUE,1
female,22,41.5792,Second,woman,FALSE,1
female,40,153.4625,First,woman,TRUE,1
female,39,31.275,Third,woman,FALSE,0
male,,7.05,Third,man,TRUE,0
female,,15.5,Third,woman,FALSE,1
male,,7.75,Third,man,TRUE,0
male,35,8.05,Third,man,TRUE,0
female,24,65,Second,woman,FALSE,1
male,34,14.4,Third,man,FALSE,0
female,26,16.1,Third,woman,FALSE,0
female,4,39,Second,child,FALSE,1
male,26,10.5,Second,man,TRUE,0
male,27,14.4542,Third,man,FALSE,0
male,42,52.5542,First,man,FALSE,1
male,20,15.7417,Third,man,FALSE,1
male,21,7.8542,Third,man,TRUE,0
male,21,16.1,Third,man,TRUE,0
male,61,32.3208,First,man,TRUE,0
male,57,12.35,Second,man,TRUE,0
female,21,77.9583,First,woman,TRUE,1
male,26,7.8958,Third,man,TRUE,0
male,,7.7333,Third,man,TRUE,0
male,80,30,First,man,TRUE,1
male,51,7.0542,Third,man,TRUE,0
male,32,30.5,First,man,TRUE,1
male,,0,First,man,TRUE,0
female,9,27.9,Third,child,FALSE,0
female,28,13,Second,woman,TRUE,1
male,32,7.925,Third,man,TRUE,0
male,31,26.25,Second,man,FALSE,0
female,41,39.6875,Third,woman,FALSE,0
male,,16.1,Third,man,FALSE,0
male,20,7.8542,Third,man,TRUE,0
female,24,69.3,First,woman,TRUE,1
female,2,27.9,Third,child,FALSE,0
male,,56.4958,Third,man,TRUE,1
female,0.75,19.2583,Third,child,FALSE,1
male,48,76.7292,First,man,FALSE,1
male,19,7.8958,Third,man,TRUE,0
male,56,35.5,First,man,TRUE,1
male,,7.55,Third,man,TRUE,0
female,23,7.55,Third,woman,TRUE,1
male,,7.8958,Third,man,TRUE,0
female,18,23,Second,woman,FALSE,1
male,21,8.4333,Third,man,TRUE,0
female,,7.8292,Third,woman,TRUE,1
female,18,6.75,Third,woman,TRUE,0
male,24,73.5,Second,man,FALSE,0
male,,7.8958,Third,man,TRUE,0
female,32,15.5,Third,woman,FALSE,0
male,23,13,Second,man,TRUE,0
male,58,113.275,First,man,FALSE,0
male,50,133.65,First,man,FALSE,1
male,40,7.225,Third,man,TRUE,0
male,47,25.5875,First,man,TRUE,0
male,36,7.4958,Third,man,TRUE,0
male,20,7.925,Third,man,FALSE,1
male,32,73.5,Second,man,FALSE,0
male,25,13,Second,man,TRUE,0
male,,7.775,Third,man,TRUE,0
male,43,8.05,Third,man,TRUE,0
female,,52,First,woman,FALSE,1
female,40,39,Second,woman,FALSE,1
male,31,52,First,man,FALSE,0
male,70,10.5,Second,man,TRUE,0
male,31,13,Second,man,TRUE,1
male,,0,Second,man,TRUE,0
male,18,7.775,Third,man,TRUE,0
male,24.5,8.05,Third,man,TRUE,0
female,18,9.8417,Third,woman,TRUE,1
female,43,46.9,Third,woman,FALSE,0
male,36,512.3292,First,man,FALSE,1
female,,8.1375,Third,woman,TRUE,0
male,27,76.7292,First,man,TRUE,1
male,20,9.225,Third,man,TRUE,0
male,14,46.9,Third,child,FALSE,0
male,60,39,Second,man,FALSE,0
male,25,41.5792,Second,man,FALSE,0
male,14,39.6875,Third,child,FALSE,0
male,19,10.1708,Third,man,TRUE,0
male,18,7.7958,Third,man,TRUE,0
female,15,211.3375,First,child,FALSE,1
male,31,57,First,man,FALSE,1
female,4,13.4167,Third,child,FALSE,1
male,,56.4958,Third,man,TRUE,1
male,25,7.225,Third,man,TRUE,0
male,60,26.55,First,man,TRUE,0
male,52,13.5,Second,man,TRUE,0
male,44,8.05,Third,man,TRUE,0
female,,7.7333,Third,woman,TRUE,1
male,49,110.8833,First,man,FALSE,0
male,42,7.65,Third,man,TRUE,0
female,18,227.525,First,woman,FALSE,1
male,35,26.2875,First,man,TRUE,1
female,18,14.4542,Third,woman,FALSE,0
male,25,7.7417,Third,man,TRUE,0
male,26,7.8542,Third,man,FALSE,0
male,39,26,Second,man,TRUE,0
female,45,13.5,Second,woman,TRUE,1
male,42,26.2875,First,man,TRUE,1
female,22,151.55,First,woman,TRUE,1
male,,15.2458,Third,man,FALSE,1
female,24,49.5042,First,woman,TRUE,1
male,,26.55,First,man,TRUE,0
male,48,52,First,man,FALSE,1
male,29,9.4833,Third,man,TRUE,0
male,52,13,Second,man,TRUE,0
male,19,7.65,Third,man,TRUE,0
female,38,227.525,First,woman,TRUE,1
female,27,10.5,Second,woman,TRUE,1
male,,15.5,Third,man,TRUE,0
male,33,7.775,Third,man,TRUE,0
female,6,33,Second,child,FALSE,1
male,17,7.0542,Third,man,FALSE,0
male,34,13,Second,man,TRUE,0
male,50,13,Second,man,TRUE,0
male,27,53.1,First,man,FALSE,1
male,20,8.6625,Third,man,TRUE,0
female,30,21,Second,woman,FALSE,1
female,,7.7375,Third,woman,TRUE,1
male,25,26,Second,man,FALSE,0
female,25,7.925,Third,woman,FALSE,0
female,29,211.3375,First,woman,TRUE,1
male,11,18.7875,Third,child,TRUE,0
male,,0,Second,man,TRUE,0
male,23,13,Second,man,TRUE,0
male,23,13,Second,man,TRUE,0
male,28.5,16.1,Third,man,TRUE,0
female,48,34.375,Third,woman,FALSE,0
male,35,512.3292,First,man,TRUE,1
male,,7.8958,Third,man,TRUE,0
male,,7.8958,Third,man,TRUE,0
male,,30,First,man,TRUE,1
male,36,78.85,First,man,FALSE,0
female,21,262.375,First,woman,FALSE,1
male,24,16.1,Third,man,FALSE,0
male,31,7.925,Third,man,TRUE,1
male,70,71,First,man,FALSE,0
male,16,20.25,Third,man,FALSE,0
female,30,13,Second,woman,TRUE,1
male,19,53.1,First,man,FALSE,0
male,31,7.75,Third,man,TRUE,0
female,4,23,Second,child,FALSE,1
male,6,12.475,Third,child,FALSE,1
male,33,9.5,Third,man,TRUE,0
male,23,7.8958,Third,man,TRUE,0
female,48,65,Second,woman,FALSE,1
male,0.67,14.5,Second,child,FALSE,1
male,28,7.7958,Third,man,TRUE,0
male,18,11.5,Second,man,TRUE,0
male,34,8.05,Third,man,TRUE,0
female,33,86.5,First,woman,TRUE,1
male,,14.5,Third,man,TRUE,0
male,41,7.125,Third,man,TRUE,0
male,20,7.2292,Third,man,TRUE,1
female,36,120,First,woman,FALSE,1
male,16,7.775,Third,man,TRUE,0
female,51,77.9583,First,woman,FALSE,1
male,,39.6,First,man,TRUE,0
female,30.5,7.75,Third,woman,TRUE,0
male,,24.15,Third,man,FALSE,0
male,32,8.3625,Third,man,TRUE,0
male,24,9.5,Third,man,TRUE,0
male,48,7.8542,Third,man,TRUE,0
female,57,10.5,Second,woman,TRUE,0
male,,7.225,Third,man,TRUE,0
female,54,23,Second,woman,FALSE,1
male,18,7.75,Third,man,TRUE,0
male,,7.75,Third,man,TRUE,0
female,5,12.475,Third,child,TRUE,1
male,,7.7375,Third,man,TRUE,0
female,43,211.3375,First,woman,FALSE,1
female,13,7.2292,Third,child,TRUE,1
female,17,57,First,woman,FALSE,1
male,29,30,First,man,TRUE,0
male,,23.45,Third,man,FALSE,0
male,25,7.05,Third,man,TRUE,0
male,25,7.25,Third,man,TRUE,0
female,18,7.4958,Third,woman,TRUE,1
male,8,29.125,Third,child,FALSE,0
male,1,20.575,Third,child,FALSE,1
male,46,79.2,First,man,TRUE,0
male,,7.75,Third,man,TRUE,0
male,16,26,Second,man,TRUE,0
female,,69.55,Third,woman,FALSE,0
male,,30.6958,First,man,TRUE,0
male,25,7.8958,Third,man,TRUE,0
male,39,13,Second,man,TRUE,0
female,49,25.9292,First,woman,TRUE,1
female,31,8.6833,Third,woman,TRUE,1
male,30,7.2292,Third,man,TRUE,0
female,30,24.15,Third,woman,FALSE,0
male,34,13,Second,man,TRUE,0
female,31,26.25,Second,woman,FALSE,1
male,11,120,First,child,FALSE,1
male,0.42,8.5167,Third,child,FALSE,1
male,27,6.975,Third,man,TRUE,1
male,31,7.775,Third,man,TRUE,0
male,39,0,First,man,TRUE,0
female,18,7.775,Third,woman,TRUE,0
male,39,13,Second,man,TRUE,0
female,33,53.1,First,woman,FALSE,1
male,26,7.8875,Third,man,TRUE,0
male,39,24.15,Third,man,TRUE,0
male,35,10.5,Second,man,TRUE,0
female,6,31.275,Third,child,FALSE,0
male,30.5,8.05,Third,man,TRUE,0
male,,0,First,man,TRUE,0
female,23,7.925,Third,woman,TRUE,0
male,31,37.0042,Second,man,FALSE,0
male,43,6.45,Third,man,TRUE,0
male,10,27.9,Third,child,FALSE,0
female,52,93.5,First,woman,FALSE,1
male,27,8.6625,Third,man,TRUE,1
male,38,0,First,man,TRUE,0
female,27,12.475,Third,woman,FALSE,1
male,2,39.6875,Third,child,FALSE,0
male,,6.95,Third,man,TRUE,0
male,,56.4958,Third,man,TRUE,0
male,1,37.0042,Second,child,FALSE,1
male,,7.75,Third,man,TRUE,1
female,62,80,First,woman,TRUE,1
female,15,14.4542,Third,child,FALSE,1
male,0.83,18.75,Second,child,FALSE,1
male,,7.2292,Third,man,TRUE,0
male,23,7.8542,Third,man,TRUE,0
male,18,8.3,Third,man,TRUE,0
female,39,83.1583,First,woman,FALSE,1
male,21,8.6625,Third,man,TRUE,0
male,,8.05,Third,man,TRUE,0
male,32,56.4958,Third,man,TRUE,1
male,,29.7,First,man,TRUE,1
male,20,7.925,Third,man,TRUE,0
male,16,10.5,Second,man,TRUE,0
female,30,31,First,woman,TRUE,1
male,34.5,6.4375,Third,man,TRUE,0
male,17,8.6625,Third,man,TRUE,0
male,42,7.55,Third,man,TRUE,0
male,,69.55,Third,man,FALSE,0
male,35,7.8958,Third,man,TRUE,0
male,28,33,Second,man,FALSE,0
female,,89.1042,First,woman,FALSE,1
male,4,31.275,Third,child,FALSE,0
male,74,7.775,Third,man,TRUE,0
female,9,15.2458,Third,child,FALSE,0
female,16,39.4,First,woman,FALSE,1
female,44,26,Second,woman,FALSE,0
female,18,9.35,Third,woman,FALSE,1
female,45,164.8667,First,woman,FALSE,1
male,51,26.55,First,man,TRUE,1
female,24,19.2583,Third,woman,FALSE,1
male,,7.2292,Third,man,TRUE,0
male,41,14.1083,Third,man,FALSE,0
male,21,11.5,Second,man,FALSE,0
female,48,25.9292,First,woman,TRUE,1
female,,69.55,Third,woman,FALSE,0
male,24,13,Second,man,TRUE,0
female,42,13,Second,woman,TRUE,1
female,27,13.8583,Second,woman,FALSE,1
male,31,50.4958,First,man,TRUE,0
male,,9.5,Third,man,TRUE,0
male,4,11.1333,Third,child,FALSE,1
male,26,7.8958,Third,man,TRUE,0
female,47,52.5542,First,woman,FALSE,1
male,33,5,First,man,TRUE,0
male,47,9,Third,man,TRUE,0
female,28,24,Second,woman,FALSE,1
female,15,7.225,Third,child,TRUE,1
male,20,9.8458,Third,man,TRUE,0
male,19,7.8958,Third,man,TRUE,0
male,,7.8958,Third,man,TRUE,0
female,56,83.1583,First,woman,FALSE,1
female,25,26,Second,woman,FALSE,1
male,33,7.8958,Third,man,TRUE,0
female,22,10.5167,Third,woman,TRUE,0
male,28,10.5,Second,man,TRUE,0
male,25,7.05,Third,man,TRUE,0
female,39,29.125,Third,woman,FALSE,0
male,27,13,Second,man,TRUE,0
female,19,30,First,woman,TRUE,1
female,,23.45,Third,woman,FALSE,0
male,26,30,First,man,TRUE,1
male,32,7.75,Third,man,TRUE,0
